Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Type
585.0,2,2.0,Unfurnished,Other,1.0,3200000,Builder_Floor
810.0,3,2.0,Semi-Furnished,Other,1.0,5400000,Builder_Floor
765.0,3,2.0,Semi-Furnished,Other,1.0,3800000,Builder_Floor
70.0,2,3.0,Furnished,Other,1.0,8200000,Builder_Floor
800.0,3,2.0,Unfurnished,Patel Nagar West,1.0,8000000,Builder_Floor
900.0,3,2.0,Semi-Furnished,Patel Nagar West,1.0,9500000,Builder_Floor
1680.0,4,5.0,Semi-Furnished,Patel Nagar West,1.0,20000000,Builder_Floor
900.0,2,2.0,Furnished,Patel Nagar West,3.0,7400000,Builder_Floor
2000.0,3,3.0,Semi-Furnished,Other,1.0,37500000,Apartment
2000.0,4,4.0,Semi-Furnished,Patel Nagar West,3.0,15000000,Builder_Floor
1530.0,3,3.0,Semi-Furnished,Other,2.0,26500000,Builder_Floor
100.0,3,2.0,Semi-Furnished,Other,2.0,16000000,Apartment
900.0,3,2.0,Furnished,Patel Nagar West,2.0,10400000,Builder_Floor
270.0,1,1.0,Unfurnished,Patel Nagar West,2.0,1700000,Builder_Floor
950.0,2,2.0,Semi-Furnished,Patel Nagar West,2.0,8000000,Builder_Floor
1800.0,3,3.0,Semi-Furnished,Other,2.0,27000000,Builder_Floor
1500.0,3,3.0,Semi-Furnished,Patel Nagar West,2.0,19500000,Builder_Floor
1800.0,3,3.0,Furnished,Other,3.0,50000000,Apartment
1800.0,3,3.0,Unfurnished,Patel Nagar West,3.0,21100000,Builder_Floor
